key,forms,path
subanta:SamBu:pum:1:3,SamBavaH,1.2.45 4.1.2 1.3.4 1.3.7 1.3.9 1.4.7 1.1.43 1.4.7 1.1.43 1.4.13 1.4.14 7.3.109 6.1.78 8.2.66 1.3.2 8.3.15 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:2:1,SamBum,1.2.45 4.1.2 1.3.4 1.4.7 1.1.43 1.4.7 1.1.43 1.4.13 1.4.14 6.1.107 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:2:2,SamBU,1.2.45 4.1.2 1.3.3 1.3.9 1.4.7 1.1.43 1.4.7 1.1.43 1.4.13 1.4.14 6.1.102 6.1.101 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:2:3,SamBUn,1.2.45 4.1.2 1.3.4 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 6.1.102 6.1.103 6.1.101 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:3:1,SamBunA,1.2.45 4.1.2 1.3.7 1.3.9 1.4.7 1.4.7 1.4.13 7.3.120 1.4.17 1.4.14 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:3:2,SamBuByAm,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:3:3,SamBuBiH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.2.66 1.3.2 8.3.15 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:4:1,SamBave,1.2.45 4.1.2 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.111 6.1.78 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:4:2,SamBuByAm,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:4:3,SamBuByaH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.2.66 1.3.2 8.3.15 8.3.24 8.4.58 8.4.68
